/home/admiral/anaconda3/envs/RLearning/lib/python3.9/site-packages/torch/cuda/__init__.py:182: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
Using device: cpu
Episode  156 | Reward:    4.651 | RPS:  0.093 | Eps: 0.7467 | Steps: 50
Episode  157 | Reward:    5.267 | RPS:  0.105 | Eps: 0.7444 | Steps: 50
Episode  158 | Reward:    2.862 | RPS:  0.057 | Eps: 0.7429 | Steps: 50
Episode  159 | Reward:    4.207 | RPS:  0.084 | Eps: 0.7407 | Steps: 50
Episode  160 | Reward:    2.660 | RPS:  0.053 | Eps: 0.7392 | Steps: 50
Episode  161 | Reward:    6.311 | RPS:  0.126 | Eps: 0.7370 | Steps: 50
Episode  162 | Reward:    2.224 | RPS:  0.044 | Eps: 0.7355 | Steps: 50
Episode  163 | Reward:    4.830 | RPS:  0.097 | Eps: 0.7333 | Steps: 50
Episode  164 | Reward:    7.917 | RPS:  0.158 | Eps: 0.7319 | Steps: 50
Episode  165 | Reward:    6.313 | RPS:  0.126 | Eps: 0.7297 | Steps: 50
Episode  166 | Reward:    2.239 | RPS:  0.045 | Eps: 0.7282 | Steps: 50
Episode  167 | Reward:    6.738 | RPS:  0.135 | Eps: 0.7260 | Steps: 50
Episode  168 | Reward:   12.525 | RPS:  0.250 | Eps: 0.7246 | Steps: 50
Episode  169 | Reward:    4.999 | RPS:  0.100 | Eps: 0.7224 | Steps: 50
Episode  170 | Reward:    5.485 | RPS:  0.110 | Eps: 0.7210 | Steps: 50
Episode  171 | Reward:    5.693 | RPS:  0.114 | Eps: 0.7188 | Steps: 50
Episode  172 | Reward:    4.010 | RPS:  0.080 | Eps: 0.7174 | Steps: 50
Episode  173 | Reward:    6.597 | RPS:  0.132 | Eps: 0.7152 | Steps: 50
Episode  174 | Reward:    8.586 | RPS:  0.172 | Eps: 0.7138 | Steps: 50
Episode  175 | Reward:    7.960 | RPS:  0.159 | Eps: 0.7116 | Steps: 50
Episode  176 | Reward:    8.002 | RPS:  0.160 | Eps: 0.7102 | Steps: 50
Episode  177 | Reward:   24.996 | RPS:  0.500 | Eps: 0.7081 | Steps: 50
Episode  178 | Reward:    5.180 | RPS:  0.104 | Eps: 0.7067 | Steps: 50
Episode  179 | Reward:    7.042 | RPS:  0.141 | Eps: 0.7046 | Steps: 50
Episode  180 | Reward:    6.926 | RPS:  0.139 | Eps: 0.7032 | Steps: 50
Episode  181 | Reward:    6.047 | RPS:  0.121 | Eps: 0.7010 | Steps: 50
Episode  182 | Reward:    4.517 | RPS:  0.090 | Eps: 0.6996 | Steps: 50
Episode  183 | Reward:    4.985 | RPS:  0.100 | Eps: 0.6976 | Steps: 50
Episode  184 | Reward:    7.500 | RPS:  0.150 | Eps: 0.6962 | Steps: 50
Episode  185 | Reward:    6.542 | RPS:  0.131 | Eps: 0.6941 | Steps: 50
Episode  186 | Reward:    3.721 | RPS:  0.074 | Eps: 0.6927 | Steps: 50
Episode  187 | Reward:    3.340 | RPS:  0.067 | Eps: 0.6906 | Steps: 50
Episode  188 | Reward:    5.135 | RPS:  0.103 | Eps: 0.6892 | Steps: 50
Episode  189 | Reward:   12.283 | RPS:  0.246 | Eps: 0.6872 | Steps: 50
Episode  190 | Reward:   11.390 | RPS:  0.228 | Eps: 0.6858 | Steps: 50
Episode  191 | Reward:    4.446 | RPS:  0.089 | Eps: 0.6837 | Steps: 50
Episode  192 | Reward:    5.761 | RPS:  0.115 | Eps: 0.6824 | Steps: 50
Episode  193 | Reward:    6.157 | RPS:  0.123 | Eps: 0.6803 | Steps: 50
Episode  194 | Reward:    4.056 | RPS:  0.081 | Eps: 0.6790 | Steps: 50
